segment_id,pred_month,예금총잔액_x,예금총잔액_y,예금총잔액,대출총잔액_x,대출총잔액_y,대출총잔액,카드총사용_x,카드총사용_y,카드총사용,디지털거래금액_x,디지털거래금액_y,디지털거래금액,순유입_x,순유입_y,순유입,FX총액_x,FX총액_y,FX총액
1차 금속 제조업|nan|우수|N,2025-01-01,31.19518187937696,,,129.79038613659057,,,1.520099828411623,,,28.371933447233054,,,1.7453950893640062,,,0.00022903702170983813,,
1차 금속 제조업|nan|우수|N,2025-02-01,,4.221363466741247,,,17.317712464104673,,,0.960068671449279,,,3.066196108664834,,,-0.18663719216407815,,,0.0,
1차 금속 제조업|nan|우수|N,2025-03-01,,,2.9163185720442644,,,10.110571209020728,,,0.7844401491928532,,,7.142131130527742,,,-0.12832548158084103,,,0.006349072075313451
1차 금속 제조업|nan|우수|Y,2025-01-01,56.59036060719111,,,1189.3163775746698,,,12.394526924023655,,,596.6642454695125,,,6.454563385762796,,,0.008818428444106432,,
1차 금속 제조업|nan|우수|Y,2025-02-01,,86.7903504563751,,,1394.2729813590977,,,10.592069563824683,,,721.1412349653178,,,1.694608542525832,,,0.0,
1차 금속 제조업|nan|우수|Y,2025-03-01,,,123.62842551744569,,,1318.4603299550174,,,8.782035339901494,,,651.7537147046786,,,-1.1411749751885831,,,0.0030089704870607196
1차 금속 제조업|nan|일반|N,2025-01-01,4.110749594219124,,,180.3257503980249,,,1.1754026716689365,,,4.854486650079153,,,0.6023150374058583,,,0.0,,
1차 금속 제조업|nan|일반|N,2025-02-01,,5.102912193367451,,,292.83442354833966,,,1.1732528158816882,,,1.155248172526425,,,0.067224886495386,,,0.0008131492818619631,
1차 금속 제조업|nan|일반|N,2025-03-01,,,2.8236174508270113,,,146.88067048702703,,,1.2763206639198028,,,2.28941999633938,,,-0.397273302363805,,,0.0004597134097961691
1차 금속 제조업|nan|일반|Y,2025-01-01,0.8262922140772648,,,22.297591012119675,,,0.018349999386303342,,,1.4878397118511577,,,-0.07238502793087583,,,1.9452049955605136e-05,,
1차 금속 제조업|nan|일반|Y,2025-02-01,,0.9848763884208618,,,23.03399188625584,,,0.11949807947052589,,,0.324348800109912,,,0.00799131646379413,,,0.022242160853266003,
1차 금속 제조업|nan|일반|Y,2025-03-01,,,1.0654286942668394,,,76.77965849524105,,,0.11518309257785433,,,3.6934800106782264,,,-0.41309706089241216,,,0.0046185947074581825
1차 금속 제조업|nan|최우수|N,2025-01-01,0.11443662885222951,,,0.11794278457026444,,,0.013205269372267068,,,0.24320700326684191,,,-0.02476844731490654,,,0.0017316105266705281,,
1차 금속 제조업|nan|최우수|N,2025-02-01,,0.07444048206713633,,,0.8804663714004113,,,0.18221509745406597,,,0.09688859358385352,,,-0.018568400330900885,,,0.008090452051427053,
1차 금속 제조업|nan|최우수|N,2025-03-01,,,0.4886592921023085,,,0.7037328250148971,,,0.1626902143802278,,,0.24102528170603305,,,-0.021311539302796837,,,0.0
1차 금속 제조업|nan|최우수|Y,2025-01-01,187.78367182628375,,,374.7004318238403,,,9.937859227136824,,,1287.8590002457745,,,4.073893025902182,,,0.8498191969041222,,
1차 금속 제조업|nan|최우수|Y,2025-02-01,,295.0728785537146,,,358.1180902516126,,,13.328616259399233,,,1707.229989009841,,,0.3396385310632999,,,0.8541498626457034,
1차 금속 제조업|nan|최우수|Y,2025-03-01,,,112.7363086021083,,,253.50033444251494,,,10.999300612165927,,,1402.9302702434272,,,-0.2843579309118495,,,0.5332843412708583
1차 금속 제조업|경기도|우수|N,2025-01-01,128.88292018833886,,,2707.066618887446,,,12.079396271012714,,,439.246289401382,,,0.6341850729913103,,,0.011682296670269404,,
1차 금속 제조업|경기도|우수|N,2025-02-01,,131.03436333067188,,,2353.6294153526533,,,8.237429370456141,,,173.34079428594794,,,6.894411305717471,,,0.024857688540326956,
1차 금속 제조업|경기도|우수|N,2025-03-01,,,103.49584866869296,,,2306.2902464740423,,,6.503774991110844,,,224.31626728795493,,,0.28906233456534974,,,0.020629940430770898
1차 금속 제조업|경기도|우수|Y,2025-01-01,8.182242874300437,,,829.8378927373586,,,1.6660281993867319,,,3.9788352242250786,,,-1.339618021897567,,,0.0,,
1차 금속 제조업|경기도|우수|Y,2025-02-01,,6.533904989937029,,,498.4454785257784,,,1.3045981758533132,,,7.084724751834472,,,1.5822641807977798,,,0.019700666741160066,
1차 금속 제조업|경기도|우수|Y,2025-03-01,,,3.2737986979678553,,,399.7153690739532,,,1.1587679759363723,,,6.4702211905260905,,,-0.2253500911347846,,,0.00369784478736193
1차 금속 제조업|경기도|일반|N,2025-01-01,2.7980597351983563,,,215.8785034224722,,,1.584352791353448,,,3.995161418152793,,,0.3227382112823995,,,0.023028766171148327,,
1차 금속 제조업|경기도|일반|N,2025-02-01,,7.526157454989178,,,141.58472895635893,,,6.1853001133141365,,,2.4830679273867595,,,-0.5003108672487766,,,0.0,
1차 금속 제조업|경기도|일반|N,2025-03-01,,,7.695659260097946,,,215.6406309926404,,,3.594031203027762,,,18.50912906246888,,,-0.12554657091036248,,,0.053745314178747054
1차 금속 제조업|경기도|일반|Y,2025-01-01,30.271400189537932,,,5406.861869769226,,,0.4461970816801125,,,128.50644164903505,,,0.8085394769934264,,,0.03774412482013657,,
1차 금속 제조업|경기도|일반|Y,2025-02-01,,43.97127586124553,,,3757.369037598845,,,0.37147520328812417,,,131.54667642056242,,,-2.004186376662554,,,0.04906393757462089,
