month,segment_id,action_type,title,rationale,score,업종_중분류,사업장_시도,법인_고객등급,전담고객여부
2024-12-01,스포츠 및 오락관련 서비스업|대구광역시|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,362.73877670584943,스포츠 및 오락관련 서비스업,대구광역시,일반,Y
2024-12-01,음식점 및 주점업|경상북도|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,357.89996762127043,음식점 및 주점업,경상북도,최우수,Y
2024-12-01,금속가공제품 제조업; 기계 및 가구 제외|경상남도|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,341.9817623791544,금속가공제품 제조업; 기계 및 가구 제외,경상남도,최우수,Y
2024-12-01,전기장비 제조업|경상남도|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,338.3733661218753,전기장비 제조업,경상남도,최우수,Y
2024-12-01,부동산업|nan|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,323.1580890033957,부동산업,,일반,Y
2024-12-01,화학물질 및 화학제품 제조업; 의약품 제외|경상북도|일반|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,318.78086335517287,화학물질 및 화학제품 제조업; 의약품 제외,경상북도,일반,N
2024-12-01,비금속 광물제품 제조업|대구광역시|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,316.10316775668764,비금속 광물제품 제조업,대구광역시,우수,Y
2024-12-01,"의료, 정밀, 광학기기 및 시계 제조업|경상북도|우수|Y",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,311.6238752677186,"의료, 정밀, 광학기기 및 시계 제조업",경상북도,우수,Y
2024-12-01,스포츠 및 오락관련 서비스업|대구광역시|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,305.42298818855954,스포츠 및 오락관련 서비스업,대구광역시,우수,Y
2024-12-01,부동산업|nan|일반|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,305.30696851737355,부동산업,,일반,N
